experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
sensitivity,sens_stall20000,O_1000_03,1,5178,3000,3000,3.200,60.391,43.211,256000,1024,60,20a7859389
sensitivity,sens_stall20000,O_1000_03,2,5178,2999,3000,3.250,60.509,43.559,258000,1024,60,20a7859389
sensitivity,sens_stall20000,O_1000_03,3,5178,3000,3000,6.460,60.418,43.445,258000,1024,60,20a7859389
sensitivity,sens_stall20000,O_1000_08,1,5191,3000,3000,2.310,60.413,44.018,258000,1024,60,20a7859389
sensitivity,sens_stall20000,O_1000_08,2,5191,3000,3000,2.330,60.521,43.990,258000,1024,60,20a7859389
sensitivity,sens_stall20000,O_1000_08,3,5191,3000,3000,3.190,60.420,43.996,258000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_800_03,1,4257,3063,4000,2.170,60.603,56.478,350000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_800_03,2,4257,3071,4000,1.670,60.622,56.654,352000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_800_03,3,4257,3048,4000,1.610,60.577,56.681,352000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_800_08,1,4158,2978,4000,51.470,60.595,56.673,352000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_800_08,2,4158,2936,4000,5.020,60.386,56.569,342000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_800_08,3,4158,2955,4000,4.660,60.355,56.606,342000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_1000_03,1,5395,3790,5000,2.580,60.441,56.512,332000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_1000_03,2,5395,3864,5000,2.920,60.657,56.749,334000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_1000_03,3,5395,3864,5000,3.560,60.466,56.606,334000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_1000_08,1,5394,3879,5000,3.740,60.397,56.410,328000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_1000_08,2,5394,3891,5000,3.550,60.513,56.751,330000,1024,60,20a7859389
sensitivity,sens_stall20000,LK_1000_08,3,5394,3879,5000,3.550,60.644,56.874,330000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_800_03,1,3672,2400,2400,1.420,60.388,47.422,254000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_800_03,2,3672,2400,2400,1.360,60.633,47.848,256000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_800_03,3,3672,2400,2400,1.500,60.552,47.356,254000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_800_08,1,3612,2396,2400,1.770,60.353,46.530,254000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_800_08,2,3612,2396,2400,1.740,60.654,46.730,254000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_800_08,3,3612,2396,2400,1.740,60.416,46.730,254000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_1000_03,1,4643,2998,3000,3.990,60.608,46.650,232000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_1000_03,2,4643,2998,3000,2.970,60.547,46.615,232000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_1000_03,3,4643,2998,3000,4.550,60.538,46.567,232000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_1000_08,1,4572,2998,3000,2.020,60.502,46.506,232000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_1000_08,2,4572,2997,3000,1.930,60.675,46.775,234000,1024,60,20a7859389
sensitivity,sens_stall20000,MF_1000_08,3,4572,2999,3000,2.630,60.420,46.486,232000,1024,60,20a7859389
sensitivity,sens_rho025,O_800_03,1,4107,2400,2400,3.410,60.520,44.884,282000,1024,60,7640605dea
sensitivity,sens_rho025,O_800_03,2,4107,2400,2400,2.120,60.619,45.197,284000,1024,60,7640605dea
sensitivity,sens_rho025,O_800_03,3,4107,2400,2400,3.360,60.329,45.180,284000,1024,60,7640605dea
sensitivity,sens_rho025,O_800_08,1,4063,2400,2400,1.360,60.413,44.664,286000,1024,60,7640605dea
sensitivity,sens_rho025,O_800_08,2,4063,2399,2400,1.650,60.368,44.740,286000,1024,60,7640605dea
sensitivity,sens_rho025,O_800_08,3,4063,2400,2400,1.630,60.434,45.009,288000,1024,60,7640605dea
sensitivity,sens_rho025,O_1000_03,1,5178,2999,3000,3.770,60.339,43.751,258000,1024,60,7640605dea
sensitivity,sens_rho025,O_1000_03,2,5178,3000,3000,4.520,60.420,44.011,260000,1024,60,7640605dea
sensitivity,sens_rho025,O_1000_03,3,5178,2999,3000,5.060,60.436,44.016,260000,1024,60,7640605dea
sensitivity,sens_rho025,O_1000_08,1,5191,3000,3000,1.870,60.479,44.669,260000,1024,60,7640605dea
sensitivity,sens_rho025,O_1000_08,2,5191,3000,3000,2.320,60.587,44.652,260000,1024,60,7640605dea
sensitivity,sens_rho025,O_1000_08,3,5191,3000,3000,1.890,60.504,44.567,260000,1024,60,7640605dea
sensitivity,sens_rho025,LK_800_03,1,4257,3070,4000,2.310,60.600,56.620,350000,1024,60,7640605dea
sensitivity,sens_rho025,LK_800_03,2,4257,3048,4000,1.920,60.329,56.483,350000,1024,60,7640605dea
sensitivity,sens_rho025,LK_800_03,3,4257,3063,4000,2.300,60.455,56.565,350000,1024,60,7640605dea
sensitivity,sens_rho025,LK_800_08,1,4158,2962,4000,35.180,60.348,56.492,344000,1024,60,7640605dea
sensitivity,sens_rho025,LK_800_08,2,4158,2953,4000,12.380,60.537,56.573,342000,1024,60,7640605dea
sensitivity,sens_rho025,LK_800_08,3,4158,2964,4000,4.370,60.608,56.750,340000,1024,60,7640605dea
sensitivity,sens_rho025,LK_1000_03,1,5395,3832,5000,3.210,60.389,56.547,332000,1024,60,7640605dea
sensitivity,sens_rho025,LK_1000_03,2,5395,3870,5000,2.820,60.661,56.836,334000,1024,60,7640605dea
sensitivity,sens_rho025,LK_1000_03,3,5395,3870,5000,3.930,60.333,56.449,332000,1024,60,7640605dea
sensitivity,sens_rho025,LK_1000_08,1,5394,3879,5000,5.060,60.351,56.529,328000,1024,60,7640605dea
sensitivity,sens_rho025,LK_1000_08,2,5394,3898,5000,2.840,60.369,56.539,328000,1024,60,7640605dea
sensitivity,sens_rho025,LK_1000_08,3,5394,3872,5000,2.870,60.388,56.493,328000,1024,60,7640605dea
sensitivity,sens_rho025,MF_800_03,1,3672,2400,2400,1.420,60.428,47.813,256000,1024,60,7640605dea
sensitivity,sens_rho025,MF_800_03,2,3672,2400,2400,1.380,60.404,47.869,256000,1024,60,7640605dea
