experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
ablation,abl_norestart,LK_800_08,2,4158,2936,4000,5.040,120.328,113.379,688000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_800_08,3,4158,2955,4000,4.650,120.333,113.478,688000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_1000_03,1,5395,3790,5000,2.520,120.360,113.553,666000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_1000_03,2,5395,3864,5000,2.810,120.652,113.928,670000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_1000_03,3,5395,3864,5000,3.530,120.332,113.613,670000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_1000_08,1,5394,3879,5000,3.630,120.369,113.601,660000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_1000_08,2,5394,3891,5000,3.580,120.359,113.643,660000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_1000_08,3,5394,3879,5000,3.580,120.584,113.842,660000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_800_03,1,3672,2400,2400,1.400,120.626,95.067,510000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_800_03,2,3672,2400,2400,1.400,120.327,95.108,510000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_800_03,3,3672,2400,2400,1.360,120.343,94.578,508000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_800_08,1,3612,2396,2400,1.730,120.624,93.782,512000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_800_08,2,3612,2396,2400,1.760,120.427,93.367,508000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_800_08,3,3612,2396,2400,1.750,120.311,93.535,508000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_1000_03,1,4643,2998,3000,4.040,120.602,93.173,464000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_1000_03,2,4643,2998,3000,2.960,120.430,93.066,464000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_1000_03,3,4643,2998,3000,4.600,120.706,93.451,466000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_1000_08,1,4572,2998,3000,1.990,120.514,93.103,464000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_1000_08,2,4572,2997,3000,2.000,120.713,93.170,466000,1024,120,2cfcd5baa1
ablation,abl_norestart,MF_1000_08,3,4572,2999,3000,2.660,120.507,93.408,466000,1024,120,2cfcd5baa1
ablation,abl_oneregime,O_800_03,1,4107,2400,2400,2.550,120.366,89.048,560000,1024,120,0e85ef585a
ablation,abl_oneregime,O_800_03,2,4107,2399,2400,2.060,120.447,89.313,562000,1024,120,0e85ef585a
ablation,abl_oneregime,O_800_03,3,4107,2400,2400,3.360,120.417,89.026,560000,1024,120,0e85ef585a
ablation,abl_oneregime,O_800_08,1,4063,2400,2400,1.630,120.535,89.187,572000,1024,120,0e85ef585a
ablation,abl_oneregime,O_800_08,2,4063,2400,2400,1.620,120.607,89.292,572000,1024,120,0e85ef585a
ablation,abl_oneregime,O_800_08,3,4063,2400,2400,1.620,120.333,89.113,572000,1024,120,0e85ef585a
ablation,abl_oneregime,O_1000_03,1,5178,3000,3000,4.660,120.506,87.627,520000,1024,120,0e85ef585a
ablation,abl_oneregime,O_1000_03,2,5178,3000,3000,5.030,120.355,86.717,514000,1024,120,0e85ef585a
ablation,abl_oneregime,O_1000_03,3,5178,3000,3000,2.830,120.424,86.913,516000,1024,120,0e85ef585a
ablation,abl_oneregime,O_1000_08,1,5191,3000,3000,2.270,120.590,88.595,518000,1024,120,0e85ef585a
ablation,abl_oneregime,O_1000_08,2,5191,3000,3000,2.240,120.336,88.560,518000,1024,120,0e85ef585a
ablation,abl_oneregime,O_1000_08,3,5191,3000,3000,2.220,120.374,88.307,518000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_800_03,1,4257,3058,4000,1.960,120.500,113.442,702000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_800_03,2,4257,3071,4000,1.570,120.515,113.470,704000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_800_03,3,4257,3048,4000,1.590,120.596,113.597,704000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_800_08,1,4158,2962,4000,101.060,120.337,113.417,696000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_800_08,2,4158,2969,4000,5.670,120.516,113.683,688000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_800_08,3,4158,2939,4000,2.950,120.552,113.686,688000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_1000_03,1,5395,3870,5000,2.800,120.356,113.645,666000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_1000_03,2,5395,3832,5000,3.160,120.500,113.727,668000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_1000_03,3,5395,3864,5000,3.610,120.457,113.675,668000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_1000_08,1,5394,3898,5000,7.220,120.323,113.606,658000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_1000_08,2,5394,3879,5000,2.810,120.558,113.905,660000,1024,120,0e85ef585a
ablation,abl_oneregime,LK_1000_08,3,5394,3872,5000,2.440,120.438,113.802,658000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_800_03,1,3672,2400,2400,1.490,120.321,95.115,510000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_800_03,2,3672,2400,2400,1.360,120.484,95.054,510000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_800_03,3,3672,2400,2400,1.360,120.636,95.370,512000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_800_08,1,3612,2396,2400,2.260,120.528,93.478,512000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_800_08,2,3612,2397,2400,1.720,120.583,93.380,510000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_800_08,3,3612,2396,2400,1.740,120.313,93.244,508000,1024,120,0e85ef585a
